Updates,Timesteps,FPS,reward_mean,reward_median,space_ratio,items_packed,loss_entropy,loss_value,loss_action,loss_infeasibility,popart_mean,popart_std,new_best_model
380,182400,909,0.45,0.49,0.544,34.80,2.2928,0.0085,-0.5909,0.0004,0.004,0.993,0
385,184800,907,0.46,0.48,0.547,35.00,2.1152,0.0048,-0.4338,0.0004,0.004,0.993,0
390,187200,909,0.48,0.51,0.548,35.10,1.6225,0.0033,0.2038,0.0005,0.004,0.992,0
395,189600,908,0.50,0.51,0.556,35.60,1.5552,0.0077,-0.0410,0.0005,0.004,0.992,0
400,192000,909,0.49,0.50,0.556,35.60,1.7572,0.0051,-0.1560,0.0005,0.004,0.992,0
405,194400,909,0.55,0.55,0.562,36.00,1.2339,0.0024,0.2342,0.0005,0.005,0.992,0
410,196800,911,0.55,0.54,0.562,36.00,0.8591,0.0012,0.0546,0.0004,0.005,0.992,0
415,199200,911,0.53,0.54,0.562,36.00,1.0163,0.0042,0.0813,0.0005,0.005,0.991,0
420,201600,912,0.53,0.54,0.556,35.60,1.0027,0.0019,-0.0954,0.0005,0.005,0.991,0
425,204000,912,0.54,0.54,0.562,36.00,0.8178,0.0035,0.0134,0.0005,0.005,0.991,0
430,206400,914,0.52,0.53,0.558,35.70,0.8080,0.0085,-0.1087,0.0005,0.005,0.991,0
435,208800,913,0.53,0.53,0.562,36.00,0.9004,0.0398,-0.1800,0.0005,0.005,0.990,0
440,211200,915,0.54,0.54,0.562,36.00,0.7612,0.0282,-0.0590,0.0005,0.005,0.990,0
445,213600,914,0.52,0.53,0.561,35.90,0.8905,0.0550,0.0644,0.0004,0.006,0.990,0
450,216000,915,0.56,0.56,0.562,36.00,0.8620,0.0784,-0.2502,0.0004,0.006,0.990,0
455,218400,914,0.55,0.55,0.562,36.00,0.9480,0.0278,0.0383,0.0004,0.006,0.990,0
460,220800,915,0.52,0.54,0.552,35.30,1.3330,0.0266,0.0837,0.0004,0.006,0.989,0
465,223200,915,0.53,0.53,0.559,35.80,1.5177,0.0117,0.0301,0.0004,0.006,0.989,0
470,225600,917,0.53,0.54,0.558,35.70,1.4352,0.0128,-0.3896,0.0004,0.006,0.989,0
475,228000,917,0.52,0.53,0.553,35.40,1.7396,0.0173,-0.2414,0.0004,0.006,0.989,0
480,230400,917,0.53,0.54,0.559,35.80,2.0958,0.0050,0.3233,0.0004,0.006,0.988,0
485,232800,917,0.49,0.50,0.559,35.80,2.4366,0.0217,-0.0660,0.0005,0.007,0.988,0
490,235200,919,0.46,0.47,0.555,35.50,2.8172,0.0084,-0.2511,0.0005,0.007,0.988,0
495,237600,919,0.44,0.44,0.559,35.80,2.7002,0.0169,-0.4684,0.0004,0.007,0.988,0
500,240000,920,0.41,0.42,0.541,34.60,2.7638,0.0139,0.6112,0.0003,0.007,0.988,0
505,242400,920,0.38,0.36,0.533,34.10,2.8477,0.0246,0.1500,0.0004,0.007,0.987,0
510,244800,922,0.33,0.32,0.531,34.00,3.4170,0.0074,-0.1099,0.0005,0.007,0.987,0
515,247200,921,0.26,0.27,0.508,32.50,3.4774,0.0110,-0.4862,0.0005,0.007,0.987,0
520,249600,923,0.26,0.28,0.509,32.60,3.9064,0.0077,-0.1565,0.0005,0.007,0.987,0
525,252000,922,0.41,0.42,0.541,34.60,2.6769,0.0188,0.0627,0.0005,0.007,0.986,0
530,254400,924,0.50,0.52,0.556,35.60,1.9889,0.0065,-0.0445,0.0005,0.007,0.986,0
535,256800,923,0.49,0.51,0.548,35.10,1.7193,0.0144,-0.3566,0.0004,0.008,0.986,0
540,259200,924,0.35,0.38,0.512,32.80,2.5299,0.0081,-0.2324,0.0004,0.008,0.986,0
545,261600,923,0.41,0.45,0.541,34.60,2.6394,0.0084,0.3570,0.0005,0.008,0.985,0
