update_step,total_timesteps,mean_reward,median_reward,mean_space_ratio,mean_items_packed,entropy_loss,value_loss,action_loss,infeasibility_loss
60,14400,0.4185185216367245,0.4444444477558136,0.4185185185185185,11.3,2.8819642066955566,0.015152853913605213,-0.012000243179500103,0.00711904838681221
65,15600,0.622222226858139,0.5925925970077515,0.6222222222222223,16.8,2.835664749145508,0.007198350504040718,-0.017090309411287308,0.011930262669920921
70,16800,0.48888889253139495,0.5000000037252903,0.48888888888888893,13.2,2.8814258575439453,0.005356610752642155,0.01910948008298874,0.005782685242593288
75,18000,0.4518518552184105,0.5000000037252903,0.45185185185185184,12.2,2.8496270179748535,0.0077923680655658245,-0.020076828077435493,0.00819648988544941
80,19200,0.5333333373069763,0.48148148506879807,0.5333333333333333,14.4,2.8402771949768066,0.006796922069042921,-0.06159616634249687,0.010119804181158543
85,20400,0.45555555894970895,0.5000000037252903,0.45555555555555555,12.3,2.867400646209717,0.00778768677264452,-0.021010303869843483,0.0068447585217654705
90,21600,0.5333333373069763,0.555555559694767,0.5333333333333332,14.4,2.857862710952759,0.011530675925314426,0.00280894641764462,0.009308431297540665
95,22800,0.6333333380520344,0.5925925970077515,0.6333333333333334,17.1,2.8348073959350586,0.00704813189804554,-0.04581349715590477,0.010612906888127327
100,24000,0.555555559694767,0.5740740783512592,0.5555555555555556,15.0,2.844057559967041,0.005688869394361973,-0.015885893255472183,0.005598187446594238
105,25200,0.5814814858138562,0.5370370410382748,0.5814814814814815,15.7,2.7961020469665527,0.006003748159855604,-0.029062271118164062,0.007767717819660902
110,26400,0.5111111149191856,0.5000000037252903,0.5111111111111112,13.8,2.7807555198669434,0.009103823453187943,0.06703972071409225,0.005678927525877953
115,27600,0.588888893276453,0.6296296343207359,0.5888888888888889,15.9,2.792372703552246,0.007229572627693415,-0.013229100033640862,0.007236382458359003
120,28800,0.5814814858138562,0.5925925970077515,0.5814814814814815,15.7,2.7836720943450928,0.007647269405424595,-0.03194131702184677,0.006472236011177301
125,30000,0.5629629671573639,0.5185185223817825,0.562962962962963,15.2,2.7952680587768555,0.008111461997032166,-0.014400728978216648,0.00727569404989481
